,easting,northing,plot_area,metric,value
134,403619.9995,3284700,40 m,mean.max.canopy.ht.aop,10.29156397
135,403659.9995,3284700,40 m,mean.max.canopy.ht.aop,8.745266798
136,403699.9995,3284700,40 m,mean.max.canopy.ht.aop,10.17127746
137,403739.9995,3284700,40 m,mean.max.canopy.ht.aop,8.925958441
138,403779.9995,3284700,40 m,mean.max.canopy.ht.aop,11.40790959
139,403819.9995,3284700,40 m,mean.max.canopy.ht.aop,10.74499995
140,403859.9995,3284700,40 m,mean.max.canopy.ht.aop,14.09424906
141,403899.9995,3284700,40 m,mean.max.canopy.ht.aop,12.1044715
142,403939.9995,3284700,40 m,mean.max.canopy.ht.aop,10.92082901
143,403979.9995,3284700,40 m,mean.max.canopy.ht.aop,9.098492766
144,404019.9995,3284700,40 m,mean.max.canopy.ht.aop,11.22632383
145,404059.9995,3284700,40 m,mean.max.canopy.ht.aop,10.39429309
146,404099.9995,3284700,40 m,mean.max.canopy.ht.aop,10.5590505
147,404139.9995,3284700,40 m,mean.max.canopy.ht.aop,11.98030602
148,404179.9995,3284700,40 m,mean.max.canopy.ht.aop,12.54020713
149,404219.9995,3284700,40 m,mean.max.canopy.ht.aop,14.23635885
150,404259.9995,3284700,40 m,mean.max.canopy.ht.aop,14.26087587
151,404299.9995,3284700,40 m,mean.max.canopy.ht.aop,14.6699443
152,404339.9995,3284700,40 m,mean.max.canopy.ht.aop,12.80785495
153,404379.9995,3284700,40 m,mean.max.canopy.ht.aop,12.98816245
154,404419.9995,3284700,40 m,mean.max.canopy.ht.aop,13.49496618
155,404459.9995,3284700,40 m,mean.max.canopy.ht.aop,13.07631474
156,404499.9995,3284700,40 m,mean.max.canopy.ht.aop,11.73251927
157,403499.9995,3284740,40 m,mean.max.canopy.ht.aop,11.09371919
158,403539.9995,3284740,40 m,mean.max.canopy.ht.aop,11.00831896
159,403579.9995,3284740,40 m,mean.max.canopy.ht.aop,10.33492566
160,403619.9995,3284740,40 m,mean.max.canopy.ht.aop,10.24885865
161,403659.9995,3284740,40 m,mean.max.canopy.ht.aop,9.85580435
162,403699.9995,3284740,40 m,mean.max.canopy.ht.aop,9.926380199
163,403739.9995,3284740,40 m,mean.max.canopy.ht.aop,8.776062639
164,403779.9995,3284740,40 m,mean.max.canopy.ht.aop,10.35492454
165,403819.9995,3284740,40 m,mean.max.canopy.ht.aop,15.87915746
166,403859.9995,3284740,40 m,mean.max.canopy.ht.aop,16.72948258
167,403899.9995,3284740,40 m,mean.max.canopy.ht.aop,11.21649837
168,403939.9995,3284740,40 m,mean.max.canopy.ht.aop,11.21013848
169,403979.9995,3284740,40 m,mean.max.canopy.ht.aop,9.732396493
170,404019.9995,3284740,40 m,mean.max.canopy.ht.aop,8.79846993
171,404059.9995,3284740,40 m,mean.max.canopy.ht.aop,11.26429292
172,404099.9995,3284740,40 m,mean.max.canopy.ht.aop,11.02605146
173,404139.9995,3284740,40 m,mean.max.canopy.ht.aop,12.54470263
174,404179.9995,3284740,40 m,mean.max.canopy.ht.aop,12.41866716
175,404219.9995,3284740,40 m,mean.max.canopy.ht.aop,12.84700063
176,404259.9995,3284740,40 m,mean.max.canopy.ht.aop,13.36064275
177,404299.9995,3284740,40 m,mean.max.canopy.ht.aop,12.85617592
178,404339.9995,3284740,40 m,mean.max.canopy.ht.aop,12.49745075
179,404379.9995,3284740,40 m,mean.max.canopy.ht.aop,11.75308149
180,404419.9995,3284740,40 m,mean.max.canopy.ht.aop,12.96407998
181,404459.9995,3284740,40 m,mean.max.canopy.ht.aop,12.24975112
182,404499.9995,3284740,40 m,mean.max.canopy.ht.aop,11.76188239
183,403499.9995,3284780,40 m,mean.max.canopy.ht.aop,11.88642274
184,403539.9995,3284780,40 m,mean.max.canopy.ht.aop,13.84543568
185,403579.9995,3284780,40 m,mean.max.canopy.ht.aop,11.93671184
186,403619.9995,3284780,40 m,mean.max.canopy.ht.aop,10.12175053
187,403659.9995,3284780,40 m,mean.max.canopy.ht.aop,10.45487155
188,403699.9995,3284780,40 m,mean.max.canopy.ht.aop,11.9195152
189,403739.9995,3284780,40 m,mean.max.canopy.ht.aop,10.49493343
190,403779.9995,3284780,40 m,mean.max.canopy.ht.aop,11.99608251
191,403819.9995,3284780,40 m,mean.max.canopy.ht.aop,15.93030704
192,403859.9995,3284780,40 m,mean.max.canopy.ht.aop,14.49017959
193,403899.9995,3284780,40 m,mean.max.canopy.ht.aop,13.02315125
194,403939.9995,3284780,40 m,mean.max.canopy.ht.aop,10.02362202
195,403979.9995,3284780,40 m,mean.max.canopy.ht.aop,10.75594367
196,404019.9995,3284780,40 m,mean.max.canopy.ht.aop,11.14574928
197,404059.9995,3284780,40 m,mean.max.canopy.ht.aop,9.298218744
198,404099.9995,3284780,40 m,mean.max.canopy.ht.aop,9.225144879
199,404139.9995,3284780,40 m,mean.max.canopy.ht.aop,11.21202145
200,404179.9995,3284780,40 m,mean.max.canopy.ht.aop,12.9355952
201,404219.9995,3284780,40 m,mean.max.canopy.ht.aop,11.50072952
202,404259.9995,3284780,40 m,mean.max.canopy.ht.aop,12.44022715
203,404299.9995,3284780,40 m,mean.max.canopy.ht.aop,12.73570227
204,404339.9995,3284780,40 m,mean.max.canopy.ht.aop,11.45225936
205,404379.9995,3284780,40 m,mean.max.canopy.ht.aop,12.47840104
206,404419.9995,3284780,40 m,mean.max.canopy.ht.aop,11.70613902
207,404459.9995,3284780,40 m,mean.max.canopy.ht.aop,11.92462991
208,404499.9995,3284780,40 m,mean.max.canopy.ht.aop,11.96544547
209,403499.9995,3284820,40 m,mean.max.canopy.ht.aop,11.27273857
210,403539.9995,3284820,40 m,mean.max.canopy.ht.aop,11.86670008
211,403579.9995,3284820,40 m,mean.max.canopy.ht.aop,15.54509465
212,403619.9995,3284820,40 m,mean.max.canopy.ht.aop,12.7148461
213,403659.9995,3284820,40 m,mean.max.canopy.ht.aop,11.31940361
214,403699.9995,3284820,40 m,mean.max.canopy.ht.aop,12.13262606
215,403739.9995,3284820,40 m,mean.max.canopy.ht.aop,13.30932872
216,403779.9995,3284820,40 m,mean.max.canopy.ht.aop,14.79796272
217,403819.9995,3284820,40 m,mean.max.canopy.ht.aop,13.34721641
218,403859.9995,3284820,40 m,mean.max.canopy.ht.aop,11.31826471
219,403899.9995,3284820,40 m,mean.max.canopy.ht.aop,13.13537083
220,403939.9995,3284820,40 m,mean.max.canopy.ht.aop,10.93088171
221,403979.9995,3284820,40 m,mean.max.canopy.ht.aop,8.493407575
222,404019.9995,3284820,40 m,mean.max.canopy.ht.aop,8.99143825
223,404059.9995,3284820,40 m,mean.max.canopy.ht.aop,10.2090803
224,404099.9995,3284820,40 m,mean.max.canopy.ht.aop,11.79159423
225,404139.9995,3284820,40 m,mean.max.canopy.ht.aop,12.08077884
226,404179.9995,3284820,40 m,mean.max.canopy.ht.aop,13.29228079
227,404219.9995,3284820,40 m,mean.max.canopy.ht.aop,11.9674299
228,404259.9995,3284820,40 m,mean.max.canopy.ht.aop,12.50511992
229,404299.9995,3284820,40 m,mean.max.canopy.ht.aop,11.35426363
230,404339.9995,3284820,40 m,mean.max.canopy.ht.aop,10.9116903
231,404379.9995,3284820,40 m,mean.max.canopy.ht.aop,11.60380095
232,404419.9995,3284820,40 m,mean.max.canopy.ht.aop,10.20276643
233,404459.9995,3284820,40 m,mean.max.canopy.ht.aop,11.20146089
234,404499.9995,3284820,40 m,mean.max.canopy.ht.aop,11.86668616
235,403499.9995,3284860,40 m,mean.max.canopy.ht.aop,9.11230644
236,403539.9995,3284860,40 m,mean.max.canopy.ht.aop,9.882434302
237,403579.9995,3284860,40 m,mean.max.canopy.ht.aop,8.885655573
238,403619.9995,3284860,40 m,mean.max.canopy.ht.aop,11.97214265
239,403659.9995,3284860,40 m,mean.max.canopy.ht.aop,10.03359536
240,403699.9995,3284860,40 m,mean.max.canopy.ht.aop,13.49854737
241,403739.9995,3284860,40 m,mean.max.canopy.ht.aop,13.10361625
242,403779.9995,3284860,40 m,mean.max.canopy.ht.aop,13.0894796
243,403819.9995,3284860,40 m,mean.max.canopy.ht.aop,12.98774972
244,403859.9995,3284860,40 m,mean.max.canopy.ht.aop,11.43374299
245,403899.9995,3284860,40 m,mean.max.canopy.ht.aop,11.94700932
246,403939.9995,3284860,40 m,mean.max.canopy.ht.aop,8.695768864
247,403979.9995,3284860,40 m,mean.max.canopy.ht.aop,9.642966247
248,404019.9995,3284860,40 m,mean.max.canopy.ht.aop,10.51116599
249,404059.9995,3284860,40 m,mean.max.canopy.ht.aop,8.65155211
